code,name_en,description_en,full_text_en,zh_description,zh_full_text
18.6.21.1,,,,Ensure 'Minimize the number of simultaneous connections to the Internet or a Windows Domain' -> 'Enabled: 3 = Prevent Wi-Fi when on Ethernet' (待翻譯),18.6.21.1 (L1) Ensure 'Minimize the number of simultaneous connections to the Internet or a Windows Domain' -> 'Enabled: 3 = Prevent Wi-Fi when on Ethernet' (待翻譯)
18.6.21.2,,,,Ensure 'Prohibit connection to non-domain networks when connected to domain authenticated network' -> 'Enabled' (待翻譯),18.6.21.2 (L2) Ensure 'Prohibit connection to non-domain networks when connected to domain authenticated network' -> 'Enabled' (待翻譯)
18.7.1,,,,Ensure 'Allow Print Spooler to accept client connections' -> 'Disabled' (待翻譯),18.7.1 (L1) Ensure 'Allow Print Spooler to accept client connections' -> 'Disabled' (待翻譯)
18.7.2,,,,Ensure 'Configure Redirection Guard' -> 'Enabled: Redirection Guard Enabled' (待翻譯),18.7.2 (L1) Ensure 'Configure Redirection Guard' -> 'Enabled: Redirection Guard Enabled' (待翻譯)
18.7.3,,,,Ensure 'Configure RPC connection settings: Protocol to use for outgoing RPC connections' -> 'Enabled: RPC over TCP' (待翻譯),18.7.3 (L1) Ensure 'Configure RPC connection settings: Protocol to use for outgoing RPC connections' -> 'Enabled: RPC over TCP' (待翻譯)
18.7.4,,,,Ensure 'Configure RPC connection settings: Use authentication for outgoing RPC connections' -> 'Enabled: Default' (待翻譯),18.7.4 (L1) Ensure 'Configure RPC connection settings: Use authentication for outgoing RPC connections' -> 'Enabled: Default' (待翻譯)
18.7.5,,,,Ensure 'Configure RPC listener settings: Protocols to allow for incoming RPC connections' -> 'Enabled: RPC over TCP' (待翻譯),18.7.5 (L1) Ensure 'Configure RPC listener settings: Protocols to allow for incoming RPC connections' -> 'Enabled: RPC over TCP' (待翻譯)
18.7.6,,,,Ensure 'Configure RPC listener settings: Authentication protocol to use for incoming RPC connections:' -> ''Enabled: Negotiate' or higher' (待翻譯),18.7.6 (L1) Ensure 'Configure RPC listener settings: Authentication protocol to use for incoming RPC connections:' -> ''Enabled: Negotiate' or higher' (待翻譯)
18.7.7,,,,Ensure 'Configure RPC over TCP port' -> 'Enabled: 0' (待翻譯),18.7.7 (L1) Ensure 'Configure RPC over TCP port' -> 'Enabled: 0' (待翻譯)
18.7.8,,,,Ensure 'Configure RPC packet level privacy setting for incoming connections' -> 'Enabled' (待翻譯),18.7.8 (L1) Ensure 'Configure RPC packet level privacy setting for incoming connections' -> 'Enabled' (待翻譯)
18.7.9,,,,Ensure 'Limits print driver installation to Administrators' -> 'Enabled' (待翻譯),18.7.9 (L1) Ensure 'Limits print driver installation to Administrators' -> 'Enabled' (待翻譯)
18.7.10,,,,Ensure 'Manage processing of Queue-specific files' -> 'Enabled: Limit Queue-specific files to Color profiles' (待翻譯),18.7.10 (L1) Ensure 'Manage processing of Queue-specific files' -> 'Enabled: Limit Queue-specific files to Color profiles' (待翻譯)
18.7.11,,,,Ensure 'Point and Print Restrictions: When installing drivers for a new connection' -> 'Enabled: Show warning and elevation prompt' (待翻譯),18.7.11 (L1) Ensure 'Point and Print Restrictions: When installing drivers for a new connection' -> 'Enabled: Show warning and elevation prompt' (待翻譯)
18.7.12,,,,Ensure 'Point and Print Restrictions: When updating drivers for an existing connection' -> 'Enabled: Show warning and elevation prompt' (待翻譯),18.7.12 (L1) Ensure 'Point and Print Restrictions: When updating drivers for an existing connection' -> 'Enabled: Show warning and elevation prompt' (待翻譯)
18.8.1.1,,,,Ensure 'Turn off notifications network usage' -> 'Enabled' (待翻譯),18.8.1.1 (L2) Ensure 'Turn off notifications network usage' -> 'Enabled' (待翻譯)
18.9.3.1,,,,Ensure 'Include command line in process creation events' -> 'Enabled' (待翻譯),18.9.3.1 (L1) Ensure 'Include command line in process creation events' -> 'Enabled' (待翻譯)
18.9.4.1,,,,Ensure 'Encryption Oracle Remediation' -> 'Enabled: Force Updated Clients' (待翻譯),18.9.4.1 (L1) Ensure 'Encryption Oracle Remediation' -> 'Enabled: Force Updated Clients' (待翻譯)
18.9.4.2,,,,Ensure 'Remote host allows delegation of non-exportable credentials' -> 'Enabled' (待翻譯),18.9.4.2 (L1) Ensure 'Remote host allows delegation of non-exportable credentials' -> 'Enabled' (待翻譯)
18.9.7.2,,,,Ensure 'Prevent device metadata retrieval from the Internet' -> 'Enabled' (待翻譯),18.9.7.2 (L1) Ensure 'Prevent device metadata retrieval from the Internet' -> 'Enabled' (待翻譯)
18.9.13.1,,,,"Ensure 'Boot-Start Driver Initialization Policy' -> 'Enabled: Good, unknown and bad but critical' (待翻譯)","18.9.13.1 (L1) Ensure 'Boot-Start Driver Initialization Policy' -> 'Enabled: Good, unknown and bad but critical' (待翻譯)"
18.9.19.2,,,,Ensure 'Configure registry policy processing: Do not apply during periodic background processing' -> 'Enabled: FALSE' (待翻譯),18.9.19.2 (L1) Ensure 'Configure registry policy processing: Do not apply during periodic background processing' -> 'Enabled: FALSE' (待翻譯)
18.9.19.3,,,,Ensure 'Configure registry policy processing: Process even if the Group Policy objects have not changed' -> 'Enabled: TRUE' (待翻譯),18.9.19.3 (L1) Ensure 'Configure registry policy processing: Process even if the Group Policy objects have not changed' -> 'Enabled: TRUE' (待翻譯)
18.9.19.4,,,,Ensure 'Configure security policy processing: Do not apply during periodic background processing' -> 'Enabled: FALSE' (待翻譯),18.9.19.4 (L1) Ensure 'Configure security policy processing: Do not apply during periodic background processing' -> 'Enabled: FALSE' (待翻譯)
18.9.19.5,,,,Ensure 'Configure security policy processing: Process even if the Group Policy objects have not changed' -> 'Enabled: TRUE' (待翻譯),18.9.19.5 (L1) Ensure 'Configure security policy processing: Process even if the Group Policy objects have not changed' -> 'Enabled: TRUE' (待翻譯)
18.9.19.6,,,,Ensure 'Continue experiences on this device' -> 'Disabled' (待翻譯),18.9.19.6 (L1) Ensure 'Continue experiences on this device' -> 'Disabled' (待翻譯)
18.9.19.7,,,,Ensure 'Turn off background refresh of Group Policy' -> 'Disabled' (待翻譯),18.9.19.7 (L1) Ensure 'Turn off background refresh of Group Policy' -> 'Disabled' (待翻譯)
18.9.20.1.1,,,,Ensure 'Turn off downloading of print drivers over HTTP' -> 'Enabled' (待翻譯),18.9.20.1.1 (L1) Ensure 'Turn off downloading of print drivers over HTTP' -> 'Enabled' (待翻譯)
18.9.20.1.2,,,,Ensure 'Turn off handwriting personalization data sharing' -> 'Enabled' (待翻譯),18.9.20.1.2 (L2) Ensure 'Turn off handwriting personalization data sharing' -> 'Enabled' (待翻譯)
18.9.20.1.3,,,,Ensure 'Turn off handwriting recognition error reporting' -> 'Enabled' (待翻譯),18.9.20.1.3 (L2) Ensure 'Turn off handwriting recognition error reporting' -> 'Enabled' (待翻譯)
